Date,Drought Level Index,Precipitation_in,Temperature_C,Vegetation,Evapotranspiration,County
2002-12,0,2.12,12.224025,0.29035,4.566025,Crosby
2003-01,0,0,15.7801,0.28975,4.67925,Crosby
2003-02,0,0.02,19.590975,0.29985,5.1559,Crosby
2003-03,0.75,0.43,31.548375,0.29465,3.047325,Crosby
2003-04,1,2.13,34.30643333,0.28545,2.209366667,Crosby
2003-05,1.697725,1.69,40.11315,0.28165,2.26625,Crosby
2003-06,1,6.74,37.514075,0.3104,4.0767,Crosby
2003-07,0.79686,0.3,44.737375,0.33935,3.651875,Crosby
2003-08,2.956825,0.87,40.833225,0.35105,3.910375,Crosby
2003-09,2.01628,0.42,34.976675,0.32625,5.39855,Crosby
2003-10,2.928725,0.66,33.45593333,0.2853,4.0359,Crosby
2003-11,4,0.44,22.444775,0.24895,4.05045,Crosby
2003-12,3.9951,0,16.442675,0.2203,2.68285,Crosby
2004-01,4.14495,2.84,14.4309,0.2185,5.025225,Crosby
2004-02,3.22995,1.9,15.734875,0.21025,5.1401,Crosby
2004-03,0.57114,2.46,26.751925,0.22325,4.4764,Crosby
2004-04,0,2.82,31.459125,0.3314,4.837125,Crosby
2004-05,0.25,0.17,41.0137,0.32265,3.697133333,Crosby
2004-06,0.51376,4.79,37.1004,0.38435,3.63135,Crosby
2004-07,0,4.07,36.44595,0.50985,5.5169,Crosby
2004-08,0,3.11,30.77045,0.5862,9.81155,Crosby
2004-09,0,2.69,30.986575,0.5015,9.611175,Crosby
2004-10,0,2.3,23.201575,0.4174,5.9985,Crosby
2004-11,0,6.24,15.94216667,0.3232,6.210566667,Crosby
2004-12,0,0.47,14.31465,0.28895,4.998375,Crosby
2005-01,0,1.44,13.329875,0.29305,6.0514,Crosby
2005-02,0,1.18,18.049675,0.30755,6.818125,Crosby
2005-03,0,1.6,23.1789,0.33985,4.527325,Crosby
2005-04,0,0.21,32.53246667,0.3734,4.814366667,Crosby
2005-05,0.4,1.59,35.26185,0.3551,6.679825,Crosby
2005-06,0.071,1.81,39.853425,0.35305,4.5762,Crosby
2005-07,0.2825,2.91,38.205175,0.4464,5.569,Crosby
2005-08,0,2.29,35.38835,0.519,10.974175,Crosby
2005-09,0,1.38,35.4274,0.4556,7.619075,Crosby
2005-10,0,1.55,27.2702,0.3748,5.796233333,Crosby
2005-11,0.2,0,22.5017,0.295,2.56295,Crosby
2005-12,1,0,16.327375,0.25855,3.228525,Crosby
2006-01,1.2,0,18.64035,0.2427,2.16445,Crosby
2006-02,3.0528,0.21,22.455775,0.232,3.23865,Crosby
2006-03,3.144175,1.57,28.2672,0.2293,3.0511,Crosby
2006-04,2.75,0.8,37.32156667,0.25115,2.934066667,Crosby
2006-05,0.62092,2.76,40.455,0.2803,2.59395,Crosby
2006-06,1.75,1.36,43.5505,0.30175,1.649175,Crosby
2006-07,2.015525,0.98,43.8983,0.3368,2.38005,Crosby
2006-08,2.25166,2.21,39.203225,0.38675,5.306225,Crosby
2006-09,0.25,5.13,31.4288,0.4355,6.30145,Crosby
2006-10,0,3.1,22.42983333,0.4143,5.473233333,Crosby
2006-11,0,0.23,21.123375,0.3316,3.943675,Crosby
2006-12,0,2.09,11.7619,0.2965,4.251525,Crosby
2007-01,0,1.32,9.144975,0.2731,7.04365,Crosby
2007-02,0,0.24,19.379025,0.2722,4.06535,Crosby
2007-03,0,5.46,24.092525,0.34215,5.8518,Crosby
2007-04,0,1.54,27.15093333,0.40455,5.596033333,Crosby
2007-05,0,3.58,31.069275,0.4096,8.244775,Crosby
2007-06,0,3.66,32.70695,0.4186,7.3045,Crosby
2007-07,0,2.06,35.46175,0.4784,8.7609,Crosby
2007-08,0,3.66,34.06195,0.5482,10.856175,Crosby
2007-09,0,1.65,31.842375,0.4979,9.304425,Crosby
2007-10,0,0.11,29.3509,0.353,4.325933333,Crosby
2007-11,0.54865,0.01,23.293125,0.2925,4.503925,Crosby
2007-12,0.79125,1.23,13.3964,0.2596,3.75065,Crosby
2008-01,0.5924,0,13.108625,0.24355,4.07835,Crosby
2008-02,1,0.27,21.0183,0.23715,2.754325,Crosby
2008-03,1.150725,0.3,28.723425,0.2303,2.975875,Crosby
2008-04,1.07328,0.93,34.11375,0.23415,2.121425,Crosby
2008-05,0,4.09,35.59956667,0.2921,2.235233333,Crosby
2008-06,1,2.64,40.8543,0.33515,2.0572,Crosby
2008-07,0.2,2.29,38.62095,0.42305,3.5887,Crosby
2008-08,0,3.66,36.097125,0.47815,6.753975,Crosby
2008-09,0,7.74,30.96535,0.4881,8.5437,Crosby
2008-10,0,3.78,24.6106,0.40645,6.051225,Crosby
2008-11,0,0.03,18.7416,0.3051,3.5474,Crosby
2008-12,0,0,15.15985,0.2691,4.118525,Crosby
2009-01,1.209275,0,18.3038,0.2556,3.571475,Crosby
2009-02,1.66385,0.57,21.7654,0.24325,2.48185,Crosby
2009-03,1.5917,0.32,28.3283,0.24895,3.34415,Crosby
2009-04,1.110925,1.28,32.12703333,0.2898,2.9952,Crosby
2009-05,0.73635,1.63,38.57445,0.3304,3.703625,Crosby
2009-06,1.25782,2.59,40.221975,0.3735,3.537075,Crosby
2009-07,0.300275,3.67,39.862175,0.4405,5.394775,Crosby
2009-08,0,0.74,38.374375,0.4344,4.95525,Crosby
2009-09,0,2.08,32.5448,0.40505,6.455975,Crosby
2009-10,0.6798,0.94,27.02526667,0.3129,4.349066667,Crosby
2009-11,1.2931,0.03,22.538125,0.2633,3.535475,Crosby
2009-12,1.69456,1.57,11.479125,0.2449,5.101675,Crosby
2010-01,0.915675,0.89,14.6136,0.237,5.270675,Crosby
2010-02,0,2.57,16.6074,0.23455,6.069925,Crosby
2010-03,0,2.51,25.0142,0.24045,3.547975,Crosby
2010-04,0,5.6,28.53593333,0.3075,5.953366667,Crosby
2010-05,0,1.59,35.945325,0.38195,5.880325,Crosby
2010-06,0.09362,2.37,42.041225,0.3661,6.4405,Crosby
2010-07,0,9.58,33.693625,0.53175,12.609525,Crosby
2010-08,0,0.66,36.2622,0.50835,7.43035,Crosby
2010-09,0,2.37,33.392025,0.43465,7.866575,Crosby
2010-10,0.25,2.86,28.99593333,0.3745,4.247133333,Crosby
2010-11,0.00156,0.16,20.214325,0.2957,2.583375,Crosby
2010-12,0.25,0,15.37505,0.2592,3.643825,Crosby
2011-01,1,0.05,14.826025,0.2552,3.81865,Crosby
2011-02,1,0.61,20.725925,0.2416,3.003625,Crosby
2011-03,1.01904,0.18,30.845875,0.23705,1.894925,Crosby
2011-04,3,0,36.51146667,0.2471,1.378966667,Crosby
2011-05,4.00002,0.43,41.290625,0.24365,1.2806,Crosby
2011-06,5,0.44,46.13915,0.2519,0.56325,Crosby
2011-07,5,0.26,48.55525,0.2784,0.98175,Crosby
2011-08,5,0.14,47.36055,0.28025,1.05395,Crosby
2011-09,5,0.96,38.4115,0.28025,2.152975,Crosby
2011-10,5,2.01,30.31493333,0.2795,2.825833333,Crosby
2011-11,4.9564,0.63,18.9316,0.2547,2.9477,Crosby
2011-12,4.001325,1.49,11.2627,0.24315,5.37015,Crosby
2012-01,3.29344,0.08,17.781925,0.24395,3.2102,Crosby
2012-02,3.8329,0.71,19.563475,0.246,4.00175,Crosby
2012-03,4.4756,1.62,31.72995,0.2762,3.118625,Crosby
2012-04,3.6236,1,38.425,0.2685,2.2614,Crosby
2012-05,3.04024,0.84,43.0482,0.2466,4.100933333,Crosby
2012-06,2.2848,4.79,42.3177,0.3204,2.14305,Crosby
2012-07,2.0896,1.47,43.697,0.3689,3.114125,Crosby
2012-08,2.64315,1.45,41.160075,0.3838,3.499975,Crosby
2012-09,4,2.59,34.5525,0.36005,5.20745,Crosby
2012-10,3.00686,0.03,30.488725,0.28045,3.64255,Crosby
2012-11,3.30345,0.01,23.5597,0.2548,3.557166667,Crosby
2012-12,3.7689,0.38,16.3199,0.25145,3.55775,Crosby
2013-01,3.3166,0.98,11.548125,0.23125,4.591025,Crosby
2013-02,3.06995,1.13,18.569575,0.2286,2.7361,Crosby
2013-03,3.134475,0.11,29.22115,0.23475,2.656875,Crosby
2013-04,3.63168,0,38.57913333,0.2314,2.1096,Crosby
2013-05,4.615375,0.93,41.48525,0.2353,2.14395,Crosby
2013-06,4.9341,3.41,42.369725,0.2971,2.376925,Crosby
2013-07,4.92106,3.12,42.1471,0.4067,4.735275,Crosby
2013-08,4.026875,2.18,38.493625,0.4364,3.8843,Crosby
2013-09,3.4668,0.6,37.3564,0.34655,4.897,Crosby
2013-10,3.23974,1.21,28.52063333,0.303,3.608666667,Crosby
2013-11,3.45685,0.62,20.516925,0.2513,4.51285,Crosby
2013-12,3.13346,1.45,12.132475,0.2438,4.955575,Crosby
2014-01,3.0564,0,16.0351,0.2208,3.564675,Crosby
2014-02,3.01315,0.45,20.20615,0.2189,4.621775,Crosby
2014-03,3.165875,0.22,29.78945,0.2229,2.0271,Crosby
2014-04,3.89906,0.12,34.86413333,0.22635,2.223766667,Crosby
2014-05,4.665725,5.33,40.7264,0.24245,2.3172,Crosby
2014-06,3.588925,3.31,36.854025,0.39125,3.5869,Crosby
2014-07,3.509,3.13,39.5059,0.4382,3.37225,Crosby
2014-08,3.547125,2.43,39.061275,0.43935,3.40985,Crosby
2014-09,2.75264,6.41,28.517975,0.5256,8.82275,Crosby
2014-10,1.9469,0.24,27.67406667,0.4687,5.614766667,Crosby
2014-11,1.457075,1.73,18.016725,0.356,4.716125,Crosby
2014-12,1.4118,0.37,15.090125,0.2651,5.303725,Crosby
2015-01,1.24855,1.7,13.478375,0.2566,6.15625,Crosby
2015-02,0.82405,0.65,18.90965,0.23835,6.4939,Crosby
2015-03,0.97654,0.32,31.467525,0.26655,4.841375,Crosby
2015-04,0.70595,2.67,31.2134,0.35315,4.683333333,Crosby
2015-05,0.1308,11.49,28.3257,0.39595,7.278175,Crosby
2015-06,0,2.22,36.602725,0.41345,6.291125,Crosby
2015-07,0,2.94,37.996875,0.4911,6.13665,Crosby
2015-08,0.001275,0.47,38.9458,0.44385,5.942475,Crosby
2015-09,1.40102,0.53,35.974475,0.39085,5.345,Crosby
2015-10,1.7859,3.27,27.3061,0.3487,4.959966667,Crosby
2015-11,0.004875,2.22,19.133125,0.29065,4.531925,Crosby
2015-12,0,1.96,11.168275,0.2488,3.968225,Crosby
2016-01,0,0.32,12.66445,0.24715,4.945675,Crosby
2016-02,0,0.34,22.38726667,0.2414,2.6337,Crosby
2016-03,0.18738,0.43,27.326675,0.2798,3.098375,Crosby
2016-04,0.625675,2.13,33.376425,0.32485,4.627675,Crosby
2016-05,0,3.64,34.91913333,0.34275,6.198,Crosby
2016-06,0,1.27,39.9308,0.36245,5.002675,Crosby
2016-07,0.8667,1.03,43.770775,0.3858,3.257525,Crosby
2016-08,2.22556,3.33,37.260825,0.4358,6.414125,Crosby
2016-09,1.259525,2.52,32.407075,0.48645,7.87875,Crosby
2016-10,1.0376,0.81,29.7539,0.38315,6.13575,Crosby
2016-11,0.94972,1.54,19.85656667,0.3008,4.133066667,Crosby
2016-12,0,1.05,13.313925,0.2794,4.79525,Crosby
2017-01,0,1.96,14.278625,0.2459,4.2736,Crosby
2017-02,0,1.54,21.351525,0.2449,3.49815,Crosby
2017-03,0.15045,1.48,28.523925,0.29875,3.957475,Crosby
2017-04,0,1.25,31.7714,0.33455,4.831333333,Crosby
2017-05,0.4661,1.07,38.07635,0.31245,3.324675,Crosby
2017-06,1.019925,2.94,42.12235,0.33385,3.3998,Crosby
2017-07,0.018775,4.43,40.065125,0.43045,4.04235,Crosby
2017-08,0,3.41,34.449925,0.5166,6.90675,Crosby
2017-09,0.01395,3.83,33.2558,0.4271,7.283,Crosby
2017-10,0,0.44,27.4042,0.3997,4.256966667,Crosby
2017-11,0.782125,0.06,22.7345,0.31145,3.672725,Crosby
2017-12,1.72635,0.01,16.10305,0.2699,3.96275,Crosby
2018-01,3.00802,0,14.728325,0.24635,3.28715,Crosby
2018-02,3.999275,0.13,19.760925,0.23535,4.17065,Crosby
2018-03,4,0.8,28.940825,0.2277,1.910975,Crosby
2018-04,3.966925,0.06,35.44836667,0.23895,2.3083,Crosby
2018-05,3.57842,2.44,41.2013,0.2605,1.91645,Crosby
2018-06,2.945375,3.09,41.364125,0.3169,1.819,Crosby
2018-07,2.15796,2.02,43.09675,0.36335,2.027975,Crosby
2018-08,2.5094,2.44,39.3904,0.4067,3.920475,Crosby
2018-09,2.48755,4.23,30.5467,0.4469,8.041025,Crosby
2018-10,0.6303,5.34,20.2366,0.3797,7.726566667,Crosby
2018-11,0,0.35,17.28245,0.314,4.38975,Crosby
2018-12,0,1.27,10.7195,0.27935,5.5037,Crosby
2019-01,0,0,14.838275,0.2655,5.02895,Crosby
2019-02,0.999625,0,19.65295,0.267,4.58945,Crosby
2019-03,0.75,1.33,24.589425,0.29485,4.842325,Crosby
2019-04,0,3.36,30.76516667,0.37845,5.795366667,Crosby
2019-05,0,4.15,33.36725,0.3899,6.597325,Crosby
2019-06,0,2.9,37.946025,0.3598,5.176075,Crosby
2019-07,0.23374,0.73,42.663375,0.3771,3.97395,Crosby
2019-08,2.2289,0.73,42.419575,0.3869,4.118,Crosby
2019-09,2.563925,5.68,33.762325,0.44465,6.592175,Crosby
2019-10,0.2,0.22,26.0335,0.3476,4.155333333,Crosby
2019-11,0,1.64,17.6637,0.2867,5.013775,Crosby
2019-12,0,0.58,14.277,0.27395,4.022625,Crosby
2020-01,0,0.57,15.04895,0.26665,4.15455,Crosby
2020-02,0,0.65,18.71445,0.27635,6.139525,Crosby
2020-03,0,3.12,24.72475,0.3235,5.6507,Crosby
2020-04,0,0.03,35.8214,0.3422,4.08145,Crosby
2020-05,0.2371,2.74,37.06996667,0.31285,3.674633333,Crosby
2020-06,0.34068,1.71,41.59935,0.29245,2.3858,Crosby
2020-07,0.983175,1.75,44.222675,0.3416,1.74885,Crosby
2020-08,1.7722,0.9,42.7442,0.3523,2.028,Crosby
2020-09,2.44626,0.9,36.608175,0.3143,4.18585,Crosby
2020-10,3.18165,0.9,28.6988,0.27495,3.10985,Crosby
2020-11,2.7999,0.21,23.57856667,0.2536,3.5196,Crosby
2020-12,3.54992,0.63,17.77395,0.2484,3.215175,Crosby
2021-01,2.886025,0.95,10.2432,0.24,4.44115,Crosby
2021-02,2.9308,0.13,19.90426667,0.2399,2.732,Crosby
2021-03,2.96772,1.8,28.0611,0.26445,2.748725,Crosby
2021-04,2.0159,0.58,33.16316667,0.2935,3.6177,Crosby
2021-05,1.868675,4.14,31.78695,0.3263,6.088325,Crosby
2021-06,0.13634,4.63,38.34835,0.3703,5.27245,Crosby
2021-07,0,2.35,35.54705,0.49015,6.9319,Crosby
2021-08,0,2.46,35.320725,0.50305,9.006825,Crosby
2021-09,0.374625,0.49,35.39735,0.4058,6.618675,Crosby
2021-10,1.3078,0.72,30.559,0.3312,3.680933333,Crosby
2021-11,2.38408,0.22,23.437175,0.2815,3.3236,Crosby
2021-12,2.89985,0,18.73775,0.2519,2.0858,Crosby
2000-02,1.75426,0.13,25.4998,0.1904,1.6404,Dawson
2000-03,2.016075,2.38,28.86375,0.19845,2.716475,Dawson
2000-04,0.296925,0.59,38.573975,0.2201,1.790225,Dawson
2000-05,0.4066,0.57,42.36533333,0.2153,1.057933333,Dawson
2000-06,0.25,4.78,39.73305,0.27275,3.800975,Dawson
2000-07,0.473725,0.33,43.018325,0.32835,2.51405,Dawson
2000-08,0.2491,0.12,44.448725,0.32225,2.299733333,Dawson
2000-09,2.75,0.06,41.74335,0.27885,2.012675,Dawson
2000-10,3.70626,3.88,23.7576,0.2176,5.7542,Dawson
2000-11,1.5133,1.3,14.52386667,0.1993,4.8819,Dawson
2000-12,1.2067,0.49,11.37815,0.2017,4.77565,Dawson
2001-01,1,0.82,13.544725,0.212228571,5.331575,Dawson
2001-02,1,0.55,17.470075,0.222757143,5.58865,Dawson
2001-03,0.75,1.65,27.55625,0.233285714,4.959225,Dawson
2001-04,0,0.07,35.14806667,0.243814286,3.3104,Dawson
2001-05,0,1.71,40.17935,0.254342857,2.4984,Dawson
2001-06,0.76215,0.09,47.1189,0.264871429,1.01455,Dawson
2001-07,2.57904,0.02,47.17535,0.2754,1.3765,Dawson
2001-08,2.74665,1.02,42.776,0.2767,3.753775,Dawson
2001-09,2,1.52,35.77315,0.27105,3.2615,Dawson
2001-10,2,0.13,30.95986667,0.235,2.042133333,Dawson
2001-11,2.09515,1.7,22.4926,0.22988,4.12175,Dawson
2001-12,2,0,15.071875,0.22476,3.560275,Dawson
2002-01,1.98726,0.91,17.396525,0.21964,3.62455,Dawson
2002-02,0.250075,0.85,18.74715,0.21452,2.7025,Dawson
2002-03,0.750725,3.18,27.61445,0.2094,2.9371,Dawson
2002-04,0.0477,1.16,33.32153333,0.2344,3.069266667,Dawson
2002-05,0,0.85,39.35225,0.23425,2.216875,Dawson
2002-06,0.796225,2.15,41.43205,0.2541,2.5005,Dawson
2002-07,0.37598,2.3,40.751225,0.34695,5.11705,Dawson
2002-08,0,1.26,40.913725,0.3757,4.262475,Dawson
2002-09,0,0.84,35.808,0.33255,4.6367,Dawson
2002-10,0.8,3.28,23.89113333,0.3087,7.3052,Dawson
2002-11,0,0.49,19.536325,0.2337,3.65415,Dawson
2002-12,0,1.7,13.073825,0.22685,4.566025,Dawson
2003-01,0,0,17.3621,0.2371,4.67925,Dawson
2003-02,0,0.48,19.86105,0.24085,5.1559,Dawson
2003-03,0.75,0.47,30.13535,0.2464,3.047325,Dawson
2003-04,1,0.72,35.58696667,0.24505,2.209366667,Dawson
2003-05,1.697725,2.33,41.284925,0.2293,2.26625,Dawson
2003-06,1,4.8,38.7281,0.2661,4.0767,Dawson
2003-07,0.79686,0.2,44.831425,0.31,3.651875,Dawson
2003-08,2.956825,1.48,40.015325,0.3492,3.910375,Dawson
2003-09,2.01628,1.64,32.21955,0.36185,5.39855,Dawson
2003-10,2.928725,0.87,31.93453333,0.3302,4.0359,Dawson
2003-11,4,0.42,21.95125,0.2634,4.05045,Dawson
2003-12,3.9951,0,17.51765,0.2111,2.68285,Dawson
2004-01,4.14495,1.08,14.142225,0.20805,5.025225,Dawson
2004-02,3.22995,1.76,15.593175,0.2011,5.1401,Dawson
2004-03,0.57114,2.04,28.6839,0.2219,4.4764,Dawson
2004-04,0,1.74,34.5072,0.27485,4.837125,Dawson
2004-05,0.25,0.27,43.0142,0.2487,3.697133333,Dawson
2004-06,0.51376,3.7,42.070075,0.26925,3.63135,Dawson
2004-07,0,3.77,40.352,0.35575,5.5169,Dawson
2004-08,0,2.92,33.5049,0.49025,9.81155,Dawson
2004-09,0,5.17,31.220825,0.46885,9.611175,Dawson
2004-10,0,3.78,23.67065,0.36935,5.9985,Dawson
2004-11,0,6.09,16.61996667,0.2709,6.210566667,Dawson
2004-12,0,0.63,14.359675,0.2299,4.998375,Dawson
2005-01,0,0.84,13.204575,0.23575,6.0514,Dawson
2005-02,0,1.51,18.357875,0.2416,6.818125,Dawson
2005-03,0,0.66,25.250375,0.2647,4.527325,Dawson
2005-04,0,0.19,35.44596667,0.3022,4.814366667,Dawson
2005-05,0.4,2.19,37.01855,0.27935,6.679825,Dawson
2005-06,0.071,1.11,41.239425,0.2933,4.5762,Dawson
2005-07,0.2825,1.9,40.2722,0.3955,5.569,Dawson
2005-08,0,3.28,35.156275,0.49995,10.974175,Dawson
2005-09,0,0.14,36.673375,0.44075,7.619075,Dawson
2005-10,0,3.11,26.50996667,0.3575,5.796233333,Dawson
2005-11,0.2,0,23.4407,0.2723,2.56295,Dawson
2005-12,1,0.01,16.35845,0.2388,3.228525,Dawson
2006-01,1.2,0,18.463275,0.22025,2.16445,Dawson
2006-02,3.0528,0.22,21.88665,0.21735,3.23865,Dawson
2006-03,3.144175,1.33,27.95595,0.22295,3.0511,Dawson
2006-04,2.75,1.13,37.8731,0.25355,2.934066667,Dawson
2006-05,0.62092,1.75,41.899475,0.2431,2.59395,Dawson
2006-06,1.75,0.43,45.236975,0.2501,1.649175,Dawson
2006-07,2.015525,0.65,44.085175,0.28715,2.38005,Dawson
2006-08,2.25166,2.86,39.187575,0.33855,5.306225,Dawson
2006-09,0.25,3.74,33.644975,0.36285,6.30145,Dawson
2006-10,0,3.9,23.8883,0.3204,5.473233333,Dawson
2006-11,0,0.08,22.4648,0.2704,3.943675,Dawson
2006-12,0,1.5,13.71445,0.23575,4.251525,Dawson
2007-01,0,1.46,11.178475,0.2243,7.04365,Dawson
2007-02,0,0.35,19.790175,0.22755,4.06535,Dawson
2007-03,0,3.05,27.446525,0.26435,5.8518,Dawson
2007-04,0,2.13,30.1148,0.2921,5.596033333,Dawson
2007-05,0,7.63,30.261,0.3038,8.244775,Dawson
2007-06,0,4.66,34.8918,0.3296,7.3045,Dawson
2007-07,0,1.49,35.6863,0.4122,8.7609,Dawson
2007-08,0,2.19,35.681375,0.4804,10.856175,Dawson
2007-09,0,2.99,33.10475,0.45855,9.304425,Dawson
2007-10,0,0.13,30.08716667,0.3256,4.325933333,Dawson
2007-11,0.54865,0.77,23.291675,0.26915,4.503925,Dawson
2007-12,0.79125,0.87,14.220925,0.2321,3.75065,Dawson
2008-01,0.5924,0,13.681,0.2191,4.07835,Dawson
2008-02,1,0.07,22.6573,0.21895,2.754325,Dawson
2008-03,1.150725,0.09,29.682175,0.22495,2.975875,Dawson
2008-04,1.07328,1.42,34.917975,0.2433,2.121425,Dawson
2008-05,0,1.94,40.21123333,0.2506,2.235233333,Dawson
2008-06,1,2.23,42.1645,0.266,2.0572,Dawson
2008-07,0.2,0.71,40.9273,0.31775,3.5887,Dawson
2008-08,0,3.3,37.7157,0.4049,6.753975,Dawson
2008-09,0,5.69,32.67615,0.4216,8.5437,Dawson
2008-10,0,2.65,26.39715,0.3432,6.051225,Dawson
2008-11,0,0,20.365,0.2582,3.5474,Dawson
2008-12,0,0.03,15.7735,0.2374,4.118525,Dawson
2009-01,1.209275,0,18.5833,0.23385,3.571475,Dawson
2009-02,1.66385,0.55,21.9778,0.2243,2.48185,Dawson
2009-03,1.5917,0.19,30.750775,0.24045,3.34415,Dawson
2009-04,1.110925,1.15,32.54506667,0.25705,2.9952,Dawson
2009-05,0.73635,1.33,39.373875,0.25495,3.703625,Dawson
2009-06,1.25782,2.8,41.38515,0.29175,3.537075,Dawson
2009-07,0.300275,4.1,39.5963,0.37445,5.394775,Dawson
2009-08,0,0.47,39.51525,0.3946,4.95525,Dawson
2009-09,0,1.57,33.650925,0.36095,6.455975,Dawson
2009-10,0.6798,0.99,27.63936667,0.2763,4.349066667,Dawson
2009-11,1.2931,0,22.82885,0.2327,3.535475,Dawson
2009-12,1.69456,1.53,11.22835,0.21765,5.101675,Dawson
2010-01,0.915675,1.45,13.685575,0.20965,5.270675,Dawson
2010-02,0,2.19,16.24975,0.19745,6.069925,Dawson
2010-03,0,1.68,26.5466,0.2208,3.547975,Dawson
2010-04,0,3.44,30.96593333,0.2744,5.953366667,Dawson
2010-05,0,0.8,37.963125,0.29675,5.880325,Dawson
2010-06,0.09362,2.24,43.363075,0.30195,6.4405,Dawson
2010-07,0,6.62,36.085925,0.42775,12.609525,Dawson
2010-08,0,0.75,37.7239,0.4298,7.43035,Dawson
2010-09,0,4.16,31.790725,0.4221,7.866575,Dawson
2010-10,0.25,0.47,29.37336667,0.3364,4.247133333,Dawson
2010-11,0.00156,0,21.845025,0.2625,2.583375,Dawson
2010-12,0.25,0,17.650575,0.2352,3.643825,Dawson
2011-01,1,0,15.77195,0.23315,3.81865,Dawson
2011-02,1,0.33,20.817575,0.22515,3.003625,Dawson
2011-03,1.01904,0,31.336575,0.2284,1.894925,Dawson
2011-04,3,0,37.16296667,0.23855,1.378966667,Dawson
2011-05,4.00002,0.05,40.98245,0.2255,1.2806,Dawson
2011-06,5,0.12,46.9449,0.22405,0.56325,Dawson
2011-07,5,0.26,47.4145,0.2426,0.98175,Dawson
2011-08,5,0.56,46.734025,0.25395,1.05395,Dawson
2011-09,5,0.91,37.962875,0.2558,2.152975,Dawson
2011-10,5,0.42,32.48636667,0.2388,2.825833333,Dawson
2011-11,4.9564,0.18,21.524025,0.21285,2.9477,Dawson
2011-12,4.001325,1.22,11.8725,0.20045,5.37015,Dawson
2012-01,3.29344,0.86,16.90875,0.19795,3.2102,Dawson
2012-02,3.8329,0.75,19.532625,0.2072,4.00175,Dawson
2012-03,4.4756,0.51,32.1236,0.2306,3.118625,Dawson
2012-04,3.6236,0.51,39.296,0.23635,2.2614,Dawson
2012-05,3.04024,2.88,37.91366667,0.23455,4.100933333,Dawson
2012-06,2.2848,0.67,46.28155,0.237,2.14305,Dawson
2012-07,2.0896,1.73,44.02355,0.3003,3.114125,Dawson
2012-08,2.64315,1.88,42.06485,0.34745,3.499975,Dawson
2012-09,4,3.47,34.39705,0.3374,5.20745,Dawson
2012-10,3.00686,0.34,29.8704,0.27075,3.64255,Dawson
2012-11,3.30345,0.04,23.4954,0.2462,3.557166667,Dawson
2012-12,3.7689,0.16,16.245025,0.2409,3.55775,Dawson
2013-01,3.3166,0.96,13.341075,0.2259,4.591025,Dawson
2013-02,3.06995,0.53,19.73545,0.23,2.7361,Dawson
2013-03,3.134475,0,29.5086,0.23885,2.656875,Dawson
2013-04,3.63168,0,39.02046667,0.2409,2.1096,Dawson
2013-05,4.615375,0.63,42.035325,0.22135,2.14395,Dawson
2013-06,4.9341,2.79,43.398175,0.2297,2.376925,Dawson
2013-07,4.92106,2.85,43.178775,0.27405,4.735275,Dawson
